TestID,exportNodename,exportNodeType,exportNodeFdn,numberOfFdns,exportFileName,domain,verifyMo,Compression,PED_autoLockUnlock,TimeValue,DateValue,Expected
"KGB-Export-46",RBS,2,"SubNetwork,SubNetwork,MeContext",1,MOCFilterUCRBS1.xml,:vsdataRbsLocalCell,,,,,,"Export succeeded"
"KGB-Export-47",RBS,2,"SubNetwork,SubNetwork,MeContext",1,MOCFilterUCRBS2.xml,:vsdataRbsLocalCell,,,,,,"Export succeeded"
"KGB-Export-48",RBS,2,"SubNetwork,SubNetwork,MeContext",1,MOCFilterUCRBS3.xml,:vsdataRbsLocalCell,,,,,,"Export succeeded"
"KGB-Export-49",RBS,2,"SubNetwork,SubNetwork,MeContext",1,MOCFilterUCRBS4.xml,:vsdataRbsLocalCell,,,,,,"Export succeeded"
"KGB-Export-50",RBS,2,"SubNetwork,SubNetwork,MeContext",1,MOCFilterUCRBS5.xml,:vsdataRbsLocalCell,,,,,,"Export succeeded"
"KGB-Export-51",RBS,2,"SubNetwork,SubNetwork,MeContext",1,MOCFilterUCRBS6.xml,:vsdataRbsLocalCell,,,,,,"Export succeeded"
"KGB-Export-52",ERBS,4,"SubNetwork,SubNetwork,MeContext",1,MOCFilterURERBS1.xml,:vsdataENodeBFunction,,,,,,"Export succeeded"
"KGB-Export-53",ERBS,4,"SubNetwork,SubNetwork,MeContext",1,MOCFilterURERBS2.xml,:vsdataENodeBFunction,,,,,,"Export succeeded"
"KGB-Export-54",ERBS,4,"SubNetwork,SubNetwork,MeContext",1,MOCFilterURERBS3.xml,:vsdataENodeBFunction,,,,,,"Export succeeded"
"KGB-Export-55",ERBS,4,"SubNetwork,SubNetwork,MeContext",1,MOCFilterURERBS4.xml,:vsdataENodeBFunction,,,,,,"Export succeeded"
"KGB-Export-56",ERBS,4,"SubNetwork,SubNetwork,MeContext",1,MOCFilterURERBS5.xml,:vsdataENodeBFunction,,,,,,"Export succeeded"
"KGB-Export-57",ERBS,4,"SubNetwork,SubNetwork,MeContext",1,MOCFilterURERBS6.xml,:vsdataENodeBFunction,,,,,,"Export succeeded"

